HIP	RA2000	DE2000	Vmag	Name
3093	0.656136	21.251111	5.88	
3132	0.663264	82.493333	6.38	
3137	0.664419	-44.796111	6.00	
3138	0.665431	21.438333	5.36	
3142	0.665997	-33.961111	6.68	
3170	0.673517	-59.455556	5.89	
3175	0.674600	-16.516389	6.49	
3179	0.675108	56.537222	2.24	Shedir
3185	0.675667	-23.803889	6.14	
3193	0.678439	-4.351667	5.90	
3231	0.685333	39.458611	5.30	
3236	0.686653	9.355278	6.52	
3245	0.688772	-46.085000	4.59	
3266	0.692908	-25.196389	6.55	
3269	0.693328	24.628889	6.06	
3277	0.696194	-56.501389	5.72	
3299	0.700956	66.147500	5.83	
3300	0.701078	50.512500	4.80	
3330	0.707861	-65.468056	5.38	
3334	0.708614	58.753333	6.18	
3352	0.711567	-60.262500	5.99	
3356	0.711914	-38.463333	6.05	
3369	0.714100	-9.921389	6.63	
3371	0.714658	16.662500	6.56	
3405	0.722567	-57.463056	4.36	
3414	0.724469	47.024444	4.95	
3419	0.726453	-17.986667	2.04	Diphda
3436	0.730581	-12.011111	6.01	
3455	0.736503	-10.609167	4.77	
3456	0.736644	-38.421944	5.90	
3478	0.740619	47.863889	5.66	
3489	0.742089	-62.497500	6.06	
3490	0.743153	-78.081944	6.61	
3497	0.744178	-65.647500	6.55	
3504	0.745417	48.284167	4.48	
3505	0.745678	-22.006111	5.22	
3521	0.749200	-42.676111	5.94	
3527	0.749922	-53.714722	6.15	
3532	0.750667	62.528611	6.62	
3544	0.754778	55.221389	5.41	
3552	0.756694	-4.629167	6.15	
3559	0.757975	-12.880278	6.15	
3572	0.760864	74.988056	5.64	
3576	0.761583	-16.424167	6.47	
3583	0.762619	-47.551944	5.80	
3604	0.769667	44.861389	6.03	
3607	0.769897	-22.521944	5.49	
3611	0.770844	55.305278	6.51	
3632	0.775828	15.475556	5.36	
3641	0.777286	69.325278	6.39	
3649	0.778464	59.574444	6.41	
3675	0.783731	11.973889	5.51	
3685	0.787100	19.578611	6.11	
3693	0.788997	24.267222	4.08	
3697	0.789894	6.740833	5.98	
3717	0.795333	-18.061389	5.70	
3721	0.796117	74.847500	5.42	
3730	0.798536	20.925278	6.51	
3741	0.800292	-21.722222	5.57	
3750	0.802467	72.674444	5.86	
3760	0.804817	7.299722	5.92	
3765	0.806258	5.283333	5.74	
3781	0.809756	-74.923333	5.09	
3786	0.811361	7.585000	4.44	
3801	0.813886	50.968056	4.90	
3807	0.815761	-46.697500	6.28	
3810	0.816308	16.941111	5.07	
3821	0.818083	57.816389	3.46	
3834	0.820528	-24.136389	5.90	
3849	0.823764	-13.560833	5.59	
3858	0.825956	-23.361944	6.27	
3865	0.827014	47.763889	6.66	
3881	0.830231	41.078889	4.53	
3885	0.831419	27.710278	5.55	
3889	0.831928	-0.223889	6.64	
3903	0.834378	-43.394722	6.49	
3909	0.835478	-10.643611	5.17	
3919	0.838392	45.002222	6.13	
3949	0.844758	-50.986667	5.24	
3951	0.845436	64.247500	5.35	
3965	0.849242	51.507778	6.38	
3988	0.854553	61.805278	6.04	
3992	0.855086	3.385000	6.39	
4023	0.859386	51.571389	6.22	
4084	0.873475	-69.503333	6.67	
4104	0.877944	-24.005833	5.47	
4147	0.883469	-1.144167	4.78	
4151	0.884522	61.123333	4.80	
4164	0.886775	-24.776944	6.44	
4185	0.891172	37.418056	6.07	
4200	0.893828	-62.871111	5.73	
4207	0.894797	-4.525556	6.53	
4212	0.896536	52.689167	6.27	
4257	0.904883	-8.740556	6.15	
4267	0.909783	19.188333	5.80	
4283	0.914656	83.707222	5.59	
4288	0.916117	23.628333	5.46	
4291	0.916531	-74.302500	6.68	
4292	0.916719	58.972778	4.83	
4293	0.916750	-69.526944	5.45	
4298	0.918117	48.678333	6.28	
4317	0.920739	24.556944	6.19	
4346	0.928444	-7.346944	5.88	
4360	0.931375	-53.192222	6.61	
4363	0.932092	-27.775833	6.11	
4366	0.932922	27.209167	6.08	
4371	0.933753	-11.266389	5.35	
4382	0.935867	13.951944	6.46	
4383	0.936925	57.996389	6.20	
4411	0.941856	42.978611	6.53	
4422	0.944447	59.181111	4.62	
4427	0.945139	60.716667	2.15	
4436	0.945861	38.499167	3.86	
4440	0.946372	60.362778	5.56	
4446	0.948608	68.775556	6.39	
4463	0.953453	23.417500	4.40	
4475	0.955425	61.421944	6.44	
4501	0.961011	45.839167	6.10	
4510	0.963931	28.992222	5.44	
4511	0.963944	-1.765833	6.56	
4520	0.965144	13.695833	6.30	
4542	0.969411	39.475278	6.55	
4552	0.970608	33.950833	5.99	
4558	0.971917	21.404444	6.47	
4563	0.972828	-60.696111	6.23	
4572	0.975278	66.351667	5.97	
4577	0.976764	-29.357222	4.30	
4587	0.978858	-11.379722	5.62	
4592	0.979372	-5.882500	6.57	
4655	0.997131	6.483056	6.14	
4675	1.000986	44.713056	5.69	
4704	1.008219	80.545278	6.67	
4709	1.008575	70.982778	6.40	
4770	1.021731	-38.916389	5.59	
